# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"01.06.2020 18:30";"13.0";"754.1";"761.2";"67";"Ветер, дующий с востока";"5";"";"";"";"Разорванная (60-90%) 1200 м, кучево-дождевые облака";"10.0 и более";"7.0";
"01.06.2020 18:00";"13.0";"754.1";"761.2";"63";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"6.0";
"01.06.2020 17:30";"13.0";"754.1";"761.2";"63";"Ветер, дующий с востока";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"6.0";
"01.06.2020 17:00";"14.0";"754.2";"761.2";"59";"Ветер, дующий с востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"6.0";
"01.06.2020 16:30";"13.0";"754.1";"761.2";"63";"Ветер, дующий с востока";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"6.0";
"01.06.2020 16:00";"14.0";"753.5";"760.5";"63";"Ветер, дующий с востока";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"7.0";
"01.06.2020 15:30";"13.0";"753.5";"760.5";"63";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"01.06.2020 15:00";"13.0";"753.5";"760.5";"59";"Ветер, дующий с востока";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"5.0";
"01.06.2020 14:30";"14.0";"753.5";"760.5";"59";"Ветер, дующий с востока";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"01.06.2020 14:00";"13.0";"753.5";"760.5";"63";"Ветер, дующий с востока";"5";"";"";"";"Сплошная (100%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"01.06.2020 13:30";"13.0";"752.7";"759.7";"63";"Ветер, дующий с востока";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"6.0";
"01.06.2020 13:00";"12.0";"753.4";"760.5";"67";"Ветер, дующий с востока";"4";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"6.0";
"01.06.2020 12:30";"12.0";"752.6";"759.7";"67";"Ветер, дующий с востока";"4";"";"";"";"Сплошная (100%) 990 м";"10.0 и более";"6.0";
"01.06.2020 12:00";"12.0";"752.6";"759.7";"67";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"6.0";
"01.06.2020 11:30";"11.0";"752.6";"759.7";"72";"Ветер, дующий с востока";"5";"";"";"";"Сплошная (100%) 840 м";"10.0 и более";"6.0";
"01.06.2020 11:00";"11.0";"752.6";"759.7";"72";"Ветер, дующий с востоко-северо-востока";"6";"";"";"";"Сплошная (100%) 750 м";"10.0 и более";"6.0";
"01.06.2020 10:30";"10.0";"751.9";"759.0";"76";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"6.0";
"01.06.2020 10:00";"11.0";"751.9";"759.0";"72";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Разорванная (60-90%) 660 м";"10.0 и более";"6.0";
"01.06.2020 09:30";"10.0";"751.1";"758.2";"76";"Ветер, дующий с востоко-северо-востока";"7";"12";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"6.0";
"01.06.2020 09:00";"10.0";"751.1";"758.2";"76";"Ветер, дующий с востоко-северо-востока";"6";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"6.0";
"01.06.2020 08:30";"9.0";"751.1";"758.2";"82";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"6.0";
"01.06.2020 08:00";"8.0";"750.6";"757.7";"87";"Ветер, дующий с востоко-северо-востока";"6";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"6.0";
"01.06.2020 07:30";"8.0";"750.6";"757.7";"87";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"6.0";
"01.06.2020 07:00";"8.0";"750.6";"757.7";"87";"Ветер, дующий с востоко-северо-востока";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"6.0";
"01.06.2020 06:30";"8.0";"750.6";"757.7";"93";"Ветер, дующий с северо-востока";"4";"9";"";"";"Сплошная (100%) 330 м";"10.0 и более";"7.0";
"01.06.2020 06:00";"8.0";"750.6";"757.7";"87";"Ветер, дующий с востоко-северо-востока";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"6.0";
"01.06.2020 05:30";"8.0";"750.6";"757.7";"87";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"6.0";
"01.06.2020 05:00";"7.0";"749.7";"756.9";"93";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"6.0";
"01.06.2020 04:30";"7.0";"749.7";"756.9";"100";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"7.0";
"01.06.2020 04:00";"7.0";"749.7";"756.9";"100";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 240 м";"5.0";"7.0";
"01.06.2020 03:30";"7.0";"749.7";"756.9";"100";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 240 м";"6.0";"7.0";
"01.06.2020 03:00";"7.0";"749.7";"756.9";"100";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"6.0";"7.0";
"01.06.2020 02:30";"8.0";"749.8";"756.9";"93";"Ветер, дующий с северо-северо-востока";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"9.0";"7.0";
"01.06.2020 02:00";"8.0";"749.1";"756.2";"93";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"8.0";"7.0";
"01.06.2020 01:30";"8.0";"749.1";"756.2";"100";"Ветер, дующий с северо-северо-востока";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"8.0";"8.0";
"01.06.2020 01:00";"8.0";"749.1";"756.2";"93";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"7.0";"7.0";
"01.06.2020 00:30";"8.0";"749.1";"756.2";"100";"Ветер, дующий с северо-северо-востока";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"4.4";"8.0";
"01.06.2020 00:00";"8.0";"749.1";"756.2";"100";"Ветер, дующий с севера";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 210 м";"3.8";"8.0";
"31.05.2020 23:30";"8.0";"749.1";"756.2";"100";"Ветер, дующий с северо-северо-востока";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 240 м";"4.3";"8.0";
"31.05.2020 23:00";"8.0";"749.1";"756.2";"93";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"5.0";"7.0";
"31.05.2020 22:30";"8.0";"749.1";"756.2";"93";"Ветер, дующий с северо-северо-востока";"6";"";"";"";"Разорванная (60-90%) 300 м";"10.0 и более";"7.0";
"31.05.2020 22:00";"9.0";"749.1";"756.2";"87";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Разорванная (60-90%) 300 м";"10.0 и более";"7.0";
"31.05.2020 21:30";"9.0";"749.1";"756.2";"94";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 300 м";"10.0 и более";"8.0";
"31.05.2020 21:00";"9.0";"749.1";"756.2";"94";"Ветер, дующий с северо-северо-востока";"6";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"7.0";"8.0";
"31.05.2020 20:30";"9.0";"749.1";"756.2";"100";"Ветер, дующий с северо-северо-востока";"5";"10";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"6.0";"9.0";
"31.05.2020 20:00";"9.0";"749.1";"756.2";"100";"Ветер, дующий с северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"6.0";"9.0";
"31.05.2020 19:30";"10.0";"748.3";"755.4";"88";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 390 м";"10.0 и более";"8.0";
"31.05.2020 19:00";"10.0";"748.3";"755.4";"88";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 390 м";"10.0 и более";"8.0";
"31.05.2020 18:30";"10.0";"748.3";"755.4";"88";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"8.0";
"31.05.2020 18:00";"10.0";"748.3";"755.4";"94";"Ветер, дующий с северо-востока";"5";"";"";"";"Разорванная (60-90%) 330 м, кучево-дождевые облака";"10.0 и более";"9.0";
"31.05.2020 17:30";"10.0";"747.5";"754.6";"94";"Ветер, дующий с северо-северо-востока";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 330 м, кучево-дождевые облака";"6.0";"9.0";
"31.05.2020 17:00";"11.0";"748.3";"755.4";"88";"Ветер, дующий с северо-северо-востока";"8";"";"";"";"Разорванная (60-90%) 330 м, кучево-дождевые облака";"10.0 и более";"9.0";
"31.05.2020 16:30";"11.0";"747.6";"754.6";"94";"Ветер, дующий с северо-северо-востока";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 330 м, кучево-дождевые облака";"10.0 и более";"10.0";
"31.05.2020 16:00";"11.0";"747.6";"754.6";"94";"Ветер, дующий с северо-северо-востока";"7";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"10.0 и более";"10.0";
"31.05.2020 15:30";"11.0";"748.3";"755.4";"94";"Ветер, дующий с северо-северо-востока";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"10.0 и более";"10.0";
"31.05.2020 15:00";"11.0";"748.3";"755.4";"100";"Ветер, дующий с севера";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"8.0";"11.0";
"31.05.2020 14:30";"11.0";"748.3";"755.4";"100";"Ветер, дующий с севера";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 330 м, кучево-дождевые облака";"7.0";"11.0";
"31.05.2020 14:00";"11.0";"748.3";"755.4";"94";"Ветер, дующий с северо-северо-востока";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 330 м, кучево-дождевые облака";"9.0";"10.0";
"31.05.2020 13:30";"11.0";"747.6";"754.6";"94";"Ветер, дующий с северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 330 м";"10.0 и более";"10.0";
"31.05.2020 13:00";"11.0";"747.6";"754.6";"94";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 330 м";"10.0 и более";"10.0";
"31.05.2020 12:30";"11.0";"748.3";"755.4";"100";"Ветер, дующий с северо-востока";"6";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 300 м";"10.0 и более";"11.0";
"31.05.2020 12:00";"12.0";"748.4";"755.4";"94";"Ветер, дующий с северо-востока";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"9.0";"11.0";
"31.05.2020 11:30";"11.0";"748.3";"755.4";"100";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"8.0";"11.0";
"31.05.2020 11:00";"11.0";"748.3";"755.4";"94";"Ветер, дующий с северо-северо-востока";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 270 м, кучево-дождевые облака";"9.0";"10.0";
"31.05.2020 10:30";"11.0";"748.3";"755.4";"94";"Ветер, дующий с северо-северо-востока";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 270 м, кучево-дождевые облака";"9.0";"10.0";
"31.05.2020 10:00";"11.0";"748.3";"755.4";"94";"Ветер, дующий с северо-востока";"7";"";"Слабый(ая)(ые) дождь";"";"Разорванная (60-90%) 390 м";"10.0 и более";"10.0";
"31.05.2020 09:30";"11.0";"749.1";"756.2";"94";"Ветер, дующий с севера";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"10.0 и более";"10.0";
"31.05.2020 09:00";"12.0";"748.4";"755.4";"94";"Ветер, дующий с северо-востока";"6";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"10.0 и более";"11.0";
"31.05.2020 08:30";"12.0";"748.4";"755.4";"94";"Ветер, дующий с северо-востока";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"10.0 и более";"11.0";
"31.05.2020 08:00";"12.0";"748.4";"755.4";"94";"Ветер, дующий с северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"10.0 и более";"11.0";
"31.05.2020 07:30";"13.0";"748.4";"755.4";"88";"Ветер, дующий с северо-востока";"5";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 390 м";"8.0";"11.0";
"31.05.2020 07:00";"13.0";"749.2";"756.2";"82";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"10.0";
"31.05.2020 06:30";"14.0";"749.2";"756.2";"82";"Ветер, дующий с северо-востока";"6";"11";"";"";"Сплошная (100%) 390 м";"10.0 и более";"11.0";
"31.05.2020 06:00";"13.0";"749.2";"756.2";"88";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"11.0";
"31.05.2020 05:30";"14.0";"749.2";"756.2";"82";"Ветер, дующий с северо-северо-востока";"6";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"11.0";
"31.05.2020 05:00";"14.0";"749.2";"756.2";"82";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"11.0";
"31.05.2020 04:30";"15.0";"749.2";"756.2";"82";"Ветер, дующий с северо-востока";"4";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"12.0";
"31.05.2020 04:00";"15.0";"749.2";"756.2";"82";"Ветер, дующий с северо-северо-востока";"5";"";"";"";"Сплошная (100%) 510 м";"10.0 и более";"12.0";
"31.05.2020 03:30";"15.0";"749.2";"756.2";"82";"Ветер, дующий с северо-востока";"6";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"12.0";
"31.05.2020 03:00";"15.0";"749.9";"756.9";"82";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"12.0";
"31.05.2020 02:30";"15.0";"749.9";"756.9";"82";"Ветер, дующий с северо-востока";"5";"";"";"";"Сплошная (100%) 540 м";"10.0 и более";"12.0";
"31.05.2020 02:00";"16.0";"750.0";"756.9";"77";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"12.0";
"31.05.2020 01:30";"16.0";"750.0";"756.9";"77";"Ветер, дующий с северо-востока";"6";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"12.0";
"31.05.2020 01:00";"16.0";"750.0";"756.9";"77";"Ветер, дующий с северо-востока";"7";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"12.0";
"31.05.2020 00:30";"17.0";"750.0";"756.9";"77";"Ветер, дующий с северо-востока";"6";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"13.0";
"31.05.2020 00:00";"17.0";"750.8";"757.7";"77";"Ветер, дующий с северо-востока";"7";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"13.0";
"30.05.2020 23:30";"18.0";"750.0";"756.9";"73";"Ветер, дующий с северо-северо-востока";"6";"";"";"";"Рассеянная (40-50%) 420 м";"10.0 и более";"13.0";
"30.05.2020 23:00";"20.0";"750.1";"756.9";"69";"Ветер, дующий с северо-востока";"6";"";"";"";"Рассеянная (40-50%) 390 м";"10.0 и более";"14.0";
"30.05.2020 22:30";"20.0";"750.1";"756.9";"69";"Ветер, дующий с северо-востока";"6";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"14.0";
"30.05.2020 22:00";"21.0";"750.1";"756.9";"64";"Ветер, дующий с севера";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"14.0";
"30.05.2020 21:30";"18.0";"750.0";"756.9";"78";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"14.0";
"30.05.2020 21:00";"21.0";"750.1";"756.9";"60";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"13.0";
"30.05.2020 20:30";"23.0";"750.1";"756.9";"50";"Ветер, дующий с востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"30.05.2020 20:00";"24.0";"750.9";"757.7";"47";"Ветер, дующий с востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"30.05.2020 19:30";"24.0";"750.9";"757.7";"47";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"30.05.2020 19:00";"25.0";"751.0";"757.7";"44";"Ветер, дующий с юго-востока";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"30.05.2020 18:30";"26.0";"751.0";"757.7";"42";"Ветер, дующий с востоко-юго-востока";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"30.05.2020 18:00";"26.0";"751.0";"757.7";"42";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"30.05.2020 17:30";"27.0";"751.0";"757.7";"37";"Ветер, дующий с юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"30.05.2020 17:00";"27.0";"751.0";"757.7";"34";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"30.05.2020 16:30";"28.0";"751.0";"757.7";"32";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"30.05.2020 16:00";"28.0";"751.0";"757.7";"32";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"30.05.2020 15:30";"28.0";"751.5";"758.2";"30";"Ветер, дующий с востоко-юго-востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"30.05.2020 15:00";"28.0";"751.5";"758.2";"28";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"30.05.2020 14:30";"27.0";"752.3";"759.0";"34";"Ветер, дующий с востока";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"30.05.2020 14:00";"27.0";"752.3";"759.0";"30";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"30.05.2020 13:30";"27.0";"752.3";"759.0";"34";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"30.05.2020 13:00";"27.0";"752.3";"759.0";"34";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"30.05.2020 12:30";"26.0";"753.0";"759.7";"39";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"30.05.2020 12:00";"26.0";"753.0";"759.7";"39";"Ветер, дующий с востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"30.05.2020 11:30";"26.0";"753.0";"759.7";"39";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"30.05.2020 11:00";"26.0";"753.0";"759.7";"39";"Ветер, дующий с востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"30.05.2020 10:30";"25.0";"753.7";"760.5";"44";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 10:00";"24.0";"753.7";"760.5";"47";"Ветер, дующий с востоко-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 09:30";"24.0";"753.7";"760.5";"47";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 09:00";"22.0";"753.7";"760.5";"53";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 08:30";"22.0";"753.7";"760.5";"53";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 08:00";"20.0";"754.3";"761.2";"64";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 07:30";"19.0";"754.3";"761.2";"68";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 07:00";"19.0";"754.3";"761.2";"64";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 06:30";"18.0";"754.3";"761.2";"68";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 06:00";"18.0";"754.3";"761.2";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 05:30";"15.0";"754.2";"761.2";"94";"Ветер, дующий с юго-юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"14.0";
"30.05.2020 05:00";"14.0";"754.2";"761.2";"94";"Ветер, дующий с севера";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 04:30";"14.0";"754.2";"761.2";"88";"Ветер, дующий с северо-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 04:00";"14.0";"754.2";"761.2";"88";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 03:30";"14.0";"754.2";"761.2";"88";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 03:00";"16.0";"754.2";"761.2";"77";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"30.05.2020 02:30";"16.0";"754.2";"761.2";"83";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 02:00";"15.0";"754.2";"761.2";"88";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 01:30";"15.0";"754.2";"761.2";"88";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 01:00";"15.0";"754.2";"761.2";"88";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 00:30";"15.0";"754.2";"761.2";"88";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"30.05.2020 00:00";"15.0";"755.0";"762.0";"88";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 23:30";"16.0";"755.0";"762.0";"83";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 23:00";"16.0";"755.0";"762.0";"83";"Ветер, дующий с юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 22:30";"17.0";"755.0";"762.0";"77";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 22:00";"18.0";"755.1";"762.0";"73";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 21:30";"20.0";"755.1";"762.0";"64";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 21:00";"20.0";"755.1";"762.0";"64";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"29.05.2020 20:30";"21.0";"755.1";"762.0";"60";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
